#1
double data(8760,4)
#Time [s], Belpex electricity price [Euro/MWh], Dynamic consumer price [Euro/MWh], Dynamic injection price [Euro/MWh]
1245600, 100.310004, 197.746004, 81.552804
1249200, 94.899996, 192.227796, 76.250996
1252800, 90.330012, 187.566412, 71.772412
1256400, 86.839992, 184.006592, 68.352192
1260000, 82.270008, 179.345208, 63.873608
1263600, 84.729996, 181.854396, 66.284396
1267200, 89.750016, 186.974816, 71.204016
1270800, 97.760016, 195.145016, 79.053816
1274400, 106.570008, 204.131208, 87.687608
1278000, 112.820004, 210.506204, 93.812604
1281600, 116.120016, 213.872216, 97.046616
1285200, 111.009996, 208.659996, 92.038796
1288800, 105.450012, 202.988812, 86.590012
1292400, 102.319992, 199.796192, 83.522592
1296000, 93.989988, 191.299588, 75.359188
1299600, 89.970012, 187.199212, 71.419612
1303200, 84.830004, 181.956404, 66.382404
1306800, 81.609984, 178.671984, 63.226784
1310400, 78.950016, 175.958816, 60.620016
1314000, 79.239996, 176.254596, 60.904196
1317600, 87.149988, 184.322788, 68.655988
1321200, 96.170004, 193.523204, 77.495604
1324800, 116.280000, 214.035400, 97.203400
1328400, 144.110016, 242.422016, 124.476816
1332000, 138.600000, 236.801800, 119.077000
1335600, 122.000004, 219.869804, 102.809004
1339200, 110.000016, 207.629816, 91.049016
1342800, 102.390012, 199.867612, 83.591212
1346400, 94.489992, 191.809592, 75.849192
1350000, 102.200004, 199.673804, 83.405004
1353600, 110.850012, 208.496812, 91.882012
1357200, 112.389984, 210.067584, 93.391184
1360800, 128.689992, 226.693592, 109.365192
1364400, 131.060016, 229.111016, 111.687816
1368000, 118.910016, 216.718016, 99.780816
1371600, 100.209996, 197.643996, 81.454796
1375200, 88.490016, 185.689616, 69.969216
1378800, 82.730016, 179.814416, 64.324416
1382400, 80.160012, 177.193012, 61.805812
1386000, 72.159984, 169.032984, 53.965784
1389600, 71.899992, 168.767792, 53.710992
1393200, 70.830000, 167.676400, 52.662400
1396800, 69.890004, 166.717604, 51.741204
1400400, 69.660000, 166.483000, 51.515800
1404000, 71.820000, 168.686200, 53.632600
1407600, 76.299984, 173.255784, 58.022984
1411200, 85.640004, 182.782604, 67.176204
1414800, 97.070004, 194.441204, 78.377604
1418400, 106.200000, 203.753800, 87.325000
1422000, 110.329992, 207.966392, 91.372392
1425600, 111.099996, 208.751796, 92.126996
1429200, 101.660004, 199.123004, 82.875804
1432800, 100.630008, 198.072408, 81.866408
1436400, 104.569992, 202.091192, 85.727592
1440000, 106.679988, 204.243388, 87.795388
1443600, 113.760000, 211.465000, 94.733800
1447200, 119.999988, 217.829788, 100.848988
1450800, 117.590004, 215.371604, 98.487204
1454400, 110.340000, 207.976600, 91.382200
1458000, 98.100000, 195.491800, 79.387000
1461600, 89.769996, 186.995196, 71.223596
1465200, 84.330000, 181.446400, 65.892400
1468800, 79.949988, 176.978788, 61.599988
1472400, 75.710016, 172.654016, 57.444816
1476000, 76.359996, 173.316996, 58.081796
1479600, 72.609984, 169.491984, 54.406784
1483200, 71.409996, 168.267996, 53.230796
1486800, 69.819984, 166.646184, 51.672584
1490400, 71.679996, 168.543396, 53.495396
1494000, 80.870004, 177.917204, 62.501604
1497600, 98.539992, 195.940592, 79.818192
1501200, 109.919988, 207.548188, 90.970588
1504800, 109.720008, 207.344208, 90.774608
1508400, 108.420012, 206.018212, 89.500612
1512000, 96.760008, 194.125008, 78.073808
1515600, 90.270000, 187.505200, 71.713600
1519200, 81.240012, 178.294612, 62.864212
1522800, 86.860008, 184.027008, 68.371808
1526400, 90.140004, 187.372604, 71.586204
1530000, 94.610016, 191.932016, 75.966816
1533600, 99.720000, 197.144200, 80.974600
1537200, 103.479984, 200.979384, 84.659384
1540800, 101.990016, 199.459616, 83.199216
1544400, 93.790008, 191.095608, 75.163208
1548000, 83.170008, 180.263208, 64.755608
1551600, 84.510000, 181.630000, 66.068800
1555200, 73.609992, 170.511992, 55.386792
1558800, 72.900000, 169.787800, 54.691000
1562400, 67.929984, 164.718384, 49.820384
1566000, 68.199984, 164.993784, 50.084984
1569600, 62.759988, 159.444988, 44.753788
1573200, 63.320004, 160.016204, 45.302604
1576800, 67.860000, 164.647000, 49.751800
1580400, 80.190000, 177.223600, 61.835200
1584000, 88.239996, 185.434596, 69.724196
1587600, 104.270004, 201.785204, 85.433604
1591200, 111.489984, 209.149584, 92.509184
1594800, 104.919984, 202.448184, 86.070584
1598400, 89.359992, 186.576992, 70.821792
1602000, 82.739988, 179.824588, 64.334188
1605600, 73.379988, 170.277388, 55.161388
1609200, 75.240000, 172.174600, 56.984200
1612800, 81.069984, 178.121184, 62.697584
1616400, 85.259988, 182.394988, 66.803788
1620000, 93.989988, 191.299588, 75.359188
1623600, 97.830000, 195.216400, 79.122400
1627200, 99.439992, 196.858592, 80.700192
1630800, 87.040008, 184.210608, 68.548208
1634400, 85.889988, 183.037588, 67.421188
1638000, 85.250016, 182.384816, 66.794016
1641600, 81.640008, 178.702608, 63.256208
1645200, 87.069996, 184.241196, 68.577596
1648800, 68.699988, 165.503788, 50.574988
1652400, 74.999988, 171.929788, 56.748988
1656000, 68.699988, 165.503788, 50.574988
1659600, 64.789992, 161.515592, 46.743192
1663200, 68.699988, 165.503788, 50.574988
1666800, 75.099996, 172.031796, 56.846996
1670400, 81.600012, 178.661812, 63.217012
1674000, 89.920008, 187.148208, 71.370608
1677600, 94.939992, 192.268592, 76.290192
1681200, 89.640000, 186.862600, 71.096200
1684800, 80.300016, 177.335816, 61.943016
1688400, 79.059996, 176.070996, 60.727796
1692000, 70.509996, 167.349996, 52.348796
1695600, 73.419984, 170.318184, 55.200584
1699200, 79.170012, 176.183212, 60.835612
1702800, 87.890004, 185.077604, 69.381204
1706400, 95.000004, 192.329804, 76.349004
1710000, 99.910008, 197.338008, 81.160808
1713600, 91.649988, 188.912788, 73.065988
1717200, 84.499992, 181.619792, 66.058992
1720800, 75.750012, 172.694812, 57.484012
1724400, 80.079984, 177.111384, 61.727384
1728000, 69.130008, 165.942408, 50.996408
1731600, 70.350012, 167.186812, 52.192012
1735200, 58.070016, 154.661216, 40.157616
1738800, 55.149984, 151.682784, 37.295984
1742400, 50.889996, 147.337596, 33.121196
1746000, 48.610008, 145.012008, 30.886808
1749600, 47.689992, 144.073592, 29.985192
1753200, 45.870012, 142.217212, 28.201612
1756800, 47.999988, 144.389788, 30.288988
1760400, 53.449992, 149.948792, 35.629992
1764000, 61.110000, 157.762000, 43.136800
1767600, 65.229984, 161.964384, 47.174384
1771200, 61.130016, 157.782416, 43.156416
1774800, 65.999988, 162.749788, 47.928988
1778400, 51.699996, 148.163796, 33.914996
1782000, 55.839996, 152.386596, 37.972196
1785600, 53.120016, 149.612216, 35.306616
1789200, 54.789984, 151.315584, 36.943184
1792800, 64.040004, 160.750604, 46.008204
1796400, 81.420012, 178.478212, 63.040612
1800000, 86.580000, 183.741400, 68.097400
1803600, 82.509984, 179.589984, 64.108784
1807200, 56.260008, 152.815008, 38.383808
1810800, 69.779988, 166.605388, 51.633388
1814400, 65.000016, 161.729816, 46.949016
1818000, 40.659984, 136.902984, 23.095784
1821600, 34.750001, 130.874801, 17.304001
1825200, 29.549999, 125.570799, 12.207999
1828800, 15.279998, 111.015398, 0.000000
1832400, 12.039998, 107.710598, 0.000000
1836000, 22.200001, 118.073801, 5.005001
1839600, 45.320004, 141.656204, 27.662604
1843200, 67.299984, 164.075784, 49.202984
1846800, 90.100008, 187.331808, 71.547008
1850400, 86.659992, 183.822992, 68.175792
1854000, 74.300004, 171.215804, 56.063004
1857600, 61.080012, 157.731412, 43.107412
1861200, 57.240000, 153.814600, 39.344200
1864800, 57.150000, 153.722800, 39.256000
1868400, 59.410008, 156.028008, 41.470808
1872000, 61.390008, 158.047608, 43.411208
1875600, 64.730016, 161.454416, 46.684416
1879200, 80.359992, 177.396992, 62.001792
1882800, 95.469984, 192.809184, 76.809584
1886400, 82.940004, 180.028604, 64.530204
1890000, 68.490000, 165.289600, 50.369200
1893600, 60.950016, 157.598816, 42.980016
1897200, 57.189996, 153.763596, 39.295196
1900800, 51.220008, 147.674208, 33.444608
1904400, 18.050000, 113.840800, 0.938000
1908000, 12.510000, 108.190000, 0.000000
1911600, 11.580001, 107.241401, 0.000000
1915200, 6.610000, 102.172000, 0.000000
1918800, 12.269999, 107.945199, 0.000000
1922400, 40.299984, 136.535784, 22.742984
1926000, 63.029988, 159.720388, 45.018388
1929600, 83.009988, 180.099988, 64.598788
1933200, 90.630000, 187.872400, 72.066400
1936800, 87.819984, 185.006184, 69.312584
1940400, 90.680004, 187.923404, 72.115404
1944000, 69.580008, 166.401408, 51.437408
1947600, 63.110016, 159.802016, 45.096816
1951200, 61.310016, 157.966016, 43.332816
1954800, 66.080016, 162.831416, 48.007416
1958400, 72.969984, 169.859184, 54.759584
1962000, 71.520012, 168.380212, 53.338612
1965600, 81.200016, 178.253816, 62.825016
1969200, 85.190004, 182.323604, 66.735204
1972800, 76.010004, 172.960004, 57.738804
1976400, 65.019996, 161.750196, 46.968596
1980000, 59.180004, 155.793404, 41.245404
1983600, 49.439988, 145.858588, 31.700188
1987200, 35.169998, 131.303198, 17.715598
1990800, 7.030001, 102.600401, 0.000000
1994400, 4.489999, 100.009599, 0.000000
1998000, 2.580000, 98.061400, 0.000000
2001600, -1.540000, 93.859000, 0.000000
2005200, -3.250000, 92.114800, 0.000000
2008800, 1.810000, 97.276000, 0.000000
2012400, 19.750000, 115.574800, 2.604000
2016000, 54.630000, 151.152400, 36.786400
2019600, 69.490008, 166.309608, 51.349208
2023200, 67.860000, 164.647000, 49.751800
2026800, 59.119992, 155.732192, 41.186592
2030400, 53.979984, 150.489384, 36.149384
2034000, 44.049996, 140.360796, 26.417996
2037600, 40.690008, 136.933608, 23.125208
2041200, 48.459996, 144.858996, 30.739796
2044800, 60.320016, 156.956216, 42.362616
2048400, 65.430000, 162.168400, 47.370400
2052000, 74.610000, 171.532000, 56.366800
2055600, 95.900004, 193.247804, 77.231004
2059200, 98.719992, 196.124192, 79.994592
2062800, 95.469984, 192.809184, 76.809584
2066400, 83.419992, 180.518192, 65.000592
2070000, 87.699996, 184.883796, 69.194996
2073600, 92.639988, 189.922588, 74.036188
2077200, 73.800000, 170.705800, 55.573000
2080800, 68.310000, 165.106000, 50.192800
2084400, 69.559992, 166.380992, 51.417792
2088000, 61.260012, 157.915012, 43.283812
2091600, 63.000000, 159.689800, 44.989000
2095200, 68.439996, 165.238596, 50.320196
2098800, 73.289988, 170.185588, 55.073188
2102400, 84.409992, 181.527992, 65.970792
2106000, 96.829992, 194.196392, 78.142392
2109600, 90.609984, 187.851984, 72.046784
2113200, 83.959992, 181.068992, 65.529792
2116800, 78.660000, 175.663000, 60.335800
2120400, 74.949984, 171.878784, 56.699984
2124000, 73.010016, 169.900016, 54.798816
2127600, 74.589984, 171.511584, 56.347184
2131200, 74.779992, 171.705392, 56.533392
2134800, 81.640008, 178.702608, 63.256208
2138400, 94.690008, 192.013608, 76.045208
2142000, 102.980016, 200.469416, 84.169416
2145600, 97.160004, 194.533004, 78.465804
2149200, 83.999988, 181.109788, 65.568988
2152800, 77.810004, 174.796004, 59.502804
2156400, 75.009996, 171.939996, 56.758796
2160000, 70.480008, 167.319408, 52.319408
2163600, 62.799984, 159.485784, 44.792984
2167200, 61.999992, 158.669792, 44.008992
2170800, 58.489992, 155.089592, 40.569192
2174400, 53.240004, 149.734604, 35.424204
2178000, 41.510016, 137.770016, 23.928816
2181600, 50.240016, 146.674616, 32.484216
2185200, 59.559984, 156.180984, 41.617784
2188800, 72.560016, 169.441016, 54.357816
2192400, 78.570000, 175.571200, 60.247600
2196000, 75.210012, 172.144012, 56.954812
2199600, 65.880000, 162.627400, 47.811400
2203200, 60.490008, 157.129608, 42.529208
2206800, 53.750016, 150.254816, 35.924016
2210400, 48.269988, 144.665188, 30.553588
2214000, 51.410016, 147.868016, 33.630816
2217600, 52.920000, 149.408200, 35.110600
2221200, 63.370008, 160.067208, 45.351608
2224800, 75.470004, 172.409204, 57.209604
2228400, 102.080016, 199.551416, 83.287416
2232000, 100.789992, 198.235592, 82.023192
2235600, 96.860016, 194.227016, 78.171816
2239200, 74.999988, 171.929788, 56.748988
2242800, 84.859992, 181.986992, 66.411792
